,year,region,dec,pollutant,int,factor,se,r2,warn
315,2013,NPCC,12965,co2,-6182.528999,453.0901381,2.21895376,0.979468106,0
316,2013,NPCC,13895,so2,-17.32159173,0.246530152,0.014760934,0.241938696,0
317,2013,NPCC,13895,nox,-10.77535698,0.171424058,0.008580962,0.313481753,0
318,2013,NPCC,13895,co2,-8575.165243,461.6876579,2.360178914,0.977669582,0
319,2013,NPCC,15014,so2,-12.81512131,0.28447209,0.018019279,0.221888538,0
320,2013,NPCC,15014,nox,-16.86538988,0.190601879,0.008847106,0.346856096,0
321,2013,NPCC,15014,co2,-5084.334645,467.2910427,2.355637483,0.978272328,0
322,2013,NPCC,16339,so2,-17.92796118,0.339904849,0.022766096,0.203219304,0
323,2013,NPCC,16339,nox,-29.66258528,0.214385645,0.011122283,0.298295332,0
324,2013,NPCC,16339,co2,-5174.971492,474.6389148,2.443149128,0.977366987,0
325,2013,NPCC,19070,so2,14.63605711,0.315276771,0.020263967,0.216892671,0
326,2013,NPCC,19070,nox,-16.40464901,0.273384495,0.011186601,0.405944737,0
327,2013,NPCC,19070,co2,-5933.623715,485.584649,2.414492985,0.978848131,0
328,2013,NPCC,35464,so2,-25.44219256,0.438666613,0.018269513,0.397457929,0
329,2013,NPCC,35464,nox,-10.19204407,0.489348254,0.015445779,0.534544103,0
330,2013,NPCC,35464,co2,-11486.67239,528.1201142,2.440741735,0.981674444,0
331,2013,RFC,51764,so2,-187.8052164,1.513648523,0.0315186,0.725183364,0
